hyperlinks,vehicle_description,Brand,Model,comment,model_year,classes,low_level,high_level
https://eg.hatla2ee.com/en/new-car/geely/GX3-pro,Geely-GX3-Pro-2025,geely,gx3,,2025,2 Classes,"925,000", 
https://eg.hatla2ee.com/en/new-car/chery/Tiggo-7,Chery-Tiggo7-2024,chery,tiggo7,,2024,2 Classes,"950,000","1,025,000"
https://eg.hatla2ee.com/en/new-car/moris-garage/zs,MG-ZS-2024,mg,zs,,2024,3 Classes,"975,000","1,020,000"
https://eg.hatla2ee.com/en/new-car/soueast/DX7-NOVA,Soueast-DX7-NOVA-2024,soueast,dx7,,2024,1 Classes,"989,900", 
https://eg.hatla2ee.com/en/new-car/hyundai/Elantra-AD,Hyundai-Elantra-AD-2025,hyundai,elantra-ad,,2025,3 Classes,"990,000","1,175,000"
https://eg.hatla2ee.com/en/new-car/nissan/sentra,Nissan-Sentra-2024,nissan,sentra,,2024,2 Classes,"999,000","1,099,000"
https://eg.hatla2ee.com/en/new-car/nissan/sentra,Nissan-Sentra-2025,nissan,sentra,,2025,2 Classes,"999,000","1,099,000"
https://eg.hatla2ee.com/en/new-car/brilliance/brilliance-V3,Brilliance-V3-2024,brilliance,v3,,2024,1 Classes,"1,000,000", 
https://eg.hatla2ee.com/en/new-car/chery/Tiggo-7,Chery-Tiggo7-2025,chery,tiggo7,,2025,2 Classes,"1,010,000","1,095,000"
https://eg.hatla2ee.com/en/new-car/geely/Coolray,Geely-Cool-Ray-2024,geely,coolray,,2024,3 Classes,"1,012,900","1,188,900"
https://eg.hatla2ee.com/en/new-car/jac/JS3,Jac-JS3-2024,jac,j3,,2024,1 Classes,"1,018,900", 
https://eg.hatla2ee.com/en/new-car/suzuki/ertiga,Suzuki-Ertiga-2024,suzuki,ertiga,,2024,1 Classes,"1,024,900", 
https://eg.hatla2ee.com/en/new-car/nissan/juke,Nissan-Juke-2025,nissan,juke,,2025,4 Classes,"1,035,000","1,218,000"
https://eg.hatla2ee.com/en/new-car/moris-garage/zs,MG-ZS-2025,mg,zs,,2025,3 Classes,"1,050,000","1,100,000"
